Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	558.2	0	279.1	279.1	100	90	0	0.782065	52	51.7	0	526	1820	1	0.774069	2031
2	16587.2	0	8061.16	8526.07	100	90	0	0.782065	52	51.7	0	526	1820	1	0.773322	2031
3	75831.8	0	40425.5	35406.3	100	90	0	0.782065	52	51.7	0	526	1820	1	0.777863	2031
4	225672	0	119877	105795	100	90	0	0.782065	52	51.7	0	526	1820	1	0.778306	2031
5	487420	0	258318	229102	100	90	0	0.782065	52	51.7	0	526	1820	1.0008	0.777232	2031
6	809365	740	428284	381081	100	90	2.65421	0.782065	52	51.7	0	526	1820	1.00485	0.780717	2031
7	1.09485e+006	997	582765	512080	100	90	3.34645	0.782065	52	51.7	0	526	1820	1.01474	0.792384	2031
8	1.30628e+006	1039	700273	606007	100	90	3.45844	0.782065	52	51.7	0	526	1820	1.02316	0.795958	2031
9	1.45262e+006	975	783060	669562	100	90	3.3058	0.782065	52	51.7	0	526	1820	1.03976	0.815385	2031
10	1.53902e+006	917	833500	705519	100	90	3.15875	0.782065	52	51.7	0	526	1820	1.06272	0.846572	2031
11	1.61252e+006	874	876354	736169	100	90	3.07719	0.782065	52	51.7	0	526	1820	1.07734	0.865297	2031
12	1.67506e+006	857	912834	762224	100	90	3.07687	0.782065	52	51.7	0	526	1820	1.09015	0.880141	2031
13	1.70343e+006	825	929776	773652	100	90	3.04159	0.782065	52	51.7	0	526	1820	1.107	0.891065	2031
14	1.72952e+006	806	945884	783639	100	90	3.04177	0.782065	52	51.7	0	526	1820	1.12118	0.914867	2031
15	1.75341e+006	802	960948	792461	100	90	3.0702	0.782065	52	51.7	0	526	1820	1.13333	0.939791	2031
16	1.78316e+006	794	965435	792304	100	90	3.08974	0.782065	52	51.7	0	526	1820	1.15061	0.95302	2031
17	1.82175e+006	792	974865	797606	100	90	3.10825	0.782065	52	51.7	0	526	1820	1.16705	0.972863	2031
18	1.86152e+006	793	993225	813532	100	90	3.19213	0.782065	52	51.7	0	526	1820	1.17381	0.972565	2031
19	1.872e+006	782	998963	816963	100	90	3.22931	0.782065	52	51.7	0	526	1820	1.16728	0.952381	2031
20	1.86511e+006	776	997414	812860	100	90	3.26899	0.782065	52	51.7	0	526	1820	1.17358	0.942857	2031
21	1.827e+006	779	1.00796e+006	819034	100	90	3.34456	0.782065	52	51.7	0	526	1820	1.17487	0.94356	2031
22	1.83425e+006	776	1.01292e+006	821332	100	90	1.46217	0.782065	52	51.7	0	526	1820	1.06225	0.788721	2031
23	1.8571e+006	775	1.02219e+006	834903	100	90	1.43804	0.782065	52	51.7	0	526	1820	1.06409	0.795253	2031
24	1.86766e+006	762	1.02643e+006	841233	100	90	1.44098	0.782065	52	51.7	0	526	1820	1.0651	0.79579	2031
25	1.87301e+006	751	1.02937e+006	843636	100	90	1.52334	0.782065	52	51.7	0	526	1820	1.07516	0.826063	2031
26	1.88982e+006	742	1.04018e+006	849637	100	90	1.64918	0.782065	52	51.7	0	526	1820	1.09278	0.868003	2031
27	1.90436e+006	1264	1.04838e+006	855986	100	90	2.72955	0.782065	52	51.7	0	526	1820	1.10345	0.894302	2031
28	1.93097e+006	1178	1.06328e+006	867687	100	90	2.81978	0.782065	52	51.7	0	526	1820	1.12311	0.92596	2031
29	1.96463e+006	1109	1.08227e+006	882356	100	90	2.92078	0.782065	52	51.7	0	526	1820	1.14286	0.945165	2031
30	1.42879e+006	1044	543207	885583	100	90	2.28088	0.782065	52	51.7	0	526	1820	1.50731	1.56438	2031
31	1.43749e+006	919	637968	797289	100	90	1.26916	0.782065	52	51.7	0	526	1820	1.16306	0.925363	2031
32	1.43384e+006	796	679652	750654	100	90	0.966265	0.782065	52	51.7	0	526	1820	1.10105	0.814674	2031
33	1.40679e+006	700	688918	714182	100	90	0.790667	0.782065	52	51.7	0	526	1820	1.07786	0.774598	2031
34	1.4008e+006	622	700664	696836	100	90	0.855205	0.782065	52	51.7	0	526	1820	1.08795	0.790123	2031
35	1.29642e+006	681	658729	635015	100	90	1.08404	0.782065	52	51.7	0	526	1820	1.0953	0.804142	2031
