Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	561.6	0	280.8	280.8	100	90	0	0.762185	52	51.3	0	231	2132	1	0.748698	1947
2	16351.7	0	7940.86	8410.79	100	90	0	0.762185	52	51.3	0	231	2132	1	0.760352	1947
3	74335.3	0	39701.6	34633.7	100	90	0	0.762185	52	51.3	0	231	2132	1	0.764476	1947
4	222161	0	118043	104118	100	90	0	0.762185	52	51.3	0	231	2132	1	0.759095	1947
5	485939	0	257265	228675	100	90	0	0.762185	52	51.3	0	231	2132	1.00081	0.762104	1947
6	813926	722	430142	383784	100	90	2.64486	0.762185	52	51.3	0	231	2132	1.00831	0.769435	1947
7	1.1071e+006	979	587843	519253	100	90	3.35871	0.762185	52	51.3	0	231	2132	1.01768	0.779016	1947
8	1.31934e+006	1015	705536	613803	100	90	3.44154	0.762185	52	51.3	0	231	2132	1.03856	0.800985	1947
9	1.46312e+006	939	786862	676259	100	90	3.25577	0.762185	52	51.3	0	231	2132	1.05083	0.811502	1947
10	1.55919e+006	883	842630	716563	100	90	3.11634	0.762185	52	51.3	0	231	2132	1.06553	0.82786	1947
11	1.63983e+006	855	889888	749941	100	90	3.05866	0.762185	52	51.3	0	231	2132	1.08542	0.851765	1947
12	1.68915e+006	832	919359	769792	100	90	3.03776	0.762185	52	51.3	0	231	2132	1.09817	0.873325	1947
13	1.71766e+006	818	937004	780654	100	90	3.05623	0.762185	52	51.3	0	231	2132	1.11538	0.892541	1947
14	1.74689e+006	803	955133	791761	100	90	3.07311	0.762185	52	51.3	0	231	2132	1.1291	0.895969	1947
15	1.78395e+006	796	976763	807189	100	90	3.09689	0.762185	52	51.3	0	231	2132	1.14983	0.924403	1947
16	1.8268e+006	799	987367	813359	100	90	3.1362	0.762185	52	51.3	0	231	2132	1.16743	0.947581	1947
17	1.87693e+006	804	1.00198e+006	823948	100	90	3.17268	0.762185	52	51.3	0	231	2132	1.18009	0.958108	1947
18	1.89851e+006	798	1.01124e+006	830705	100	90	3.20925	0.762185	52	51.3	0	231	2132	1.17861	0.941176	1947
19	1.91187e+006	794	1.01937e+006	834862	100	90	3.27115	0.762185	52	51.3	0	231	2132	1.17478	0.932039	1947
20	1.91858e+006	796	1.02493e+006	836833	100	90	3.34899	0.762185	52	51.3	0	231	2132	1.17889	0.926554	1947
21	1.87198e+006	794	1.03268e+006	839294	100	90	3.40298	0.762185	52	51.3	0	231	2132	1.18519	0.914286	1947
22	1.87245e+006	795	1.03444e+006	838011	100	90	1.51203	0.762185	52	51.3	0	231	2132	1.06544	0.741206	1947
23	1.8907e+006	783	1.04154e+006	849161	100	90	1.48446	0.762185	52	51.3	0	231	2132	1.07181	0.747069	1947
