Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	438.4	0	219.2	219.2	100	90	0	0.756115	40	39.9	0	242	2236	1	0.808	1963
2	13038.9	0	6360.56	6678.39	100	90	0	0.756115	40	39.9	0	242	2236	1	0.79865	1963
3	62654	0	32874	29780	100	90	0	0.756115	40	39.9	0	242	2236	1	0.806483	1963
4	195085	0	101377	93707.7	100	90	0	0.756115	40	39.9	0	242	2236	1	0.807769	1963
5	440244	0	228773	211471	100	90	0	0.756115	40	39.9	0	242	2236	1.00199	0.808598	1963
6	748651	595	389642	359009	100	90	2.48386	0.756115	40	39.9	0	242	2236	1.01618	0.822529	1963
7	1.0185e+006	791	534481	484021	100	90	3.0373	0.756115	40	39.9	0	242	2236	1.04379	0.852058	1963
8	1.20601e+006	853	637991	568022	100	90	3.18988	0.756115	40	39.9	0	242	2236	1.07039	0.878363	1963
9	1.3349e+006	815	709958	624944	100	90	3.10668	0.756115	40	39.9	0	242	2236	1.08059	0.891065	1963
10	1.41019e+006	772	752821	657371	100	90	2.97434	0.756115	40	39.9	0	242	2236	1.10304	0.922179	1963
11	1.48016e+006	751	793516	686642	100	90	2.92555	0.756115	40	39.9	0	242	2236	1.12528	0.951482	1963
12	1.52407e+006	743	819277	704798	100	90	2.8861	0.756115	40	39.9	0	242	2236	1.1476	0.986092	1963
13	1.55815e+006	738	840468	717681	100	90	2.86424	0.756115	40	39.9	0	242	2236	1.17391	1.02006	1963
14	1.57679e+006	723	852346	724449	100	90	2.88065	0.756115	40	39.9	0	242	2236	1.18115	1.01912	1963
15	1.59965e+006	723	865256	734393	100	90	2.84261	0.756115	40	39.9	0	242	2236	1.22278	1.07808	1963
16	1.64708e+006	726	876513	742775	100	90	2.86984	0.756115	40	39.9	0	242	2236	1.2356	1.09574	1963
17	1.68405e+006	733	883264	748963	100	90	2.92468	0.756115	40	39.9	0	242	2236	1.24628	1.10413	1963
18	1.71888e+006	741	899714	762913	100	90	2.98433	0.756115	40	39.9	0	242	2236	1.24586	1.10185	1963
19	1.72039e+006	735	900738	762917	100	90	3.03149	0.756115	40	39.9	0	242	2236	1.24929	1.07812	1963
20	1.74677e+006	756	916090	774291	100	90	3.13476	0.756115	40	39.9	0	242	2236	1.25473	1.07717	1963
21	1.69509e+006	766	919871	775220	100	90	3.2104	0.756115	40	39.9	0	242	2236	1.25893	1.06984	1963
22	1.69815e+006	772	922361	775791	100	90	1.10378	0.756115	40	39.9	0	242	2236	1.05919	0.853297	1963
23	1.73407e+006	768	936977	797088	100	90	1.08831	0.756115	40	39.9	0	242	2236	1.06486	0.870705	1963
24	1.77067e+006	758	954919	815749	100	90	1.08938	0.756115	40	39.9	0	242	2236	1.07021	0.892956	1963
