Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	400	0	200	200	100	90	0	0.8963	40	39.2	0	210	2329	1	0.805508	2186
2	12270.6	0	5977.31	6293.24	100	90	0	0.8963	40	39.2	0	210	2329	1	0.801339	2186
3	60764.5	0	31968	28796.5	100	90	0	0.8963	40	39.2	0	210	2329	1	0.806482	2186
4	190189	0	99022.9	91166.1	100	90	0	0.8963	40	39.2	0	210	2329	1	0.807429	2186
5	433858	0	224832	209025	100	90	0	0.8963	40	39.2	0	210	2329	1	0.805051	2186
6	749360	566	389002	360358	100	90	2.37169	0.8963	40	39.2	0	210	2329	1.00997	0.810867	2186
7	1.01052e+006	793	529444	481071	100	90	3.05395	0.8963	40	39.2	0	210	2329	1.02923	0.831661	2186
8	1.19179e+006	842	630815	560976	100	90	3.16841	0.8963	40	39.2	0	210	2329	1.05527	0.855107	2186
9	1.31838e+006	809	702286	616093	100	90	3.07758	0.8963	40	39.2	0	210	2329	1.07338	0.874074	2186
10	1.41652e+006	782	757368	659155	100	90	2.97087	0.8963	40	39.2	0	210	2329	1.10385	0.9106	2186
11	1.4835e+006	761	794895	688601	100	90	2.95638	0.8963	40	39.2	0	210	2329	1.11432	0.924503	2186
12	1.52486e+006	741	818790	706074	100	90	2.91382	0.8963	40	39.2	0	210	2329	1.13417	0.949106	2186
13	1.57477e+006	743	846864	727907	100	90	2.9253	0.8963	40	39.2	0	210	2329	1.16667	1	2186
14	1.60249e+006	736	863287	739203	100	90	2.89981	0.8963	40	39.2	0	210	2329	1.18137	1.02594	2186
15	1.62871e+006	743	879006	749705	100	90	2.94013	0.8963	40	39.2	0	210	2329	1.19899	1.04839	2186
16	1.66968e+006	742	886880	754551	100	90	2.92968	0.8963	40	39.2	0	210	2329	1.22627	1.06231	2186
17	1.69715e+006	744	888887	756195	100	90	2.96215	0.8963	40	39.2	0	210	2329	1.22739	1.06466	2186
18	1.7258e+006	753	902658	767151	100	90	3.04607	0.8963	40	39.2	0	210	2329	1.22665	1.06061	2186
19	1.75397e+006	760	917837	778945	100	90	3.124	0.8963	40	39.2	0	210	2329	1.21849	1.04601	2186
20	1.76648e+006	759	925592	784232	100	90	3.1448	0.8963	40	39.2	0	210	2329	1.22507	1.03106	2186
21	1.72665e+006	768	935233	791417	100	90	3.21224	0.8963	40	39.2	0	210	2329	1.22642	1.02656	2186
22	1.72386e+006	770	934722	789140	100	90	1.27448	0.8963	40	39.2	0	210	2329	1.06575	0.846807	2186
23	1.74705e+006	763	944255	802796	100	90	1.25872	0.8963	40	39.2	0	210	2329	1.06904	0.867037	2186
24	1.77801e+006	754	959155	818852	100	90	1.26251	0.8963	40	39.2	0	210	2329	1.07497	0.895816	2186
25	1.78852e+006	745	965631	822887	100	90	1.32363	0.8963	40	39.2	0	210	2329	1.08374	0.923517	2186
26	1.80839e+006	738	977689	830704	100	90	1.43315	0.8963	40	39.2	0	210	2329	1.09637	0.956209	2186
27	1.83556e+006	1346	992469	843090	100	90	2.49603	0.8963	40	39.2	0	210	2329	1.11565	0.983555	2186
28	1.86345e+006	1232	1.00728e+006	856175	100	90	2.5339	0.8963	40	39.2	0	210	2329	1.13858	1.00268	2186
29	1.88008e+006	1149	1.01705e+006	863033	100	90	2.60101	0.8963	40	39.2	0	210	2329	1.16819	1.02165	2186
30	1.39955e+006	1114	519724	879826	100	90	2.15728	0.8963	40	39.2	0	210	2329	1.51702	1.63797	2186
31	1.44906e+006	991	631084	817292	100	90	1.27753	0.8963	40	39.2	0	210	2329	1.18608	1.00246	2186
32	1.45166e+006	883	672928	777410	100	90	1.00152	0.8963	40	39.2	0	210	2329	1.11393	0.903836	2186
33	1.38549e+006	743	664265	720152	100	90	0.790552	0.8963	40	39.2	0	210	2329	1.08594	0.853632	2186
34	1.0218e+006	663	331462	690082	100	90	0.832629	0.8963	40	39.2	0	210	2329	1.08924	0.855503	2186
35	1.05906e+006	760	421992	636892	100	90	1.08384	0.8963	40	39.2	0	210	2329	1.09934	0.892994	2186
