Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	447.6	0	223.8	223.8	100	60	0	0.701223	39	38.8	0	3	1910	1	0.876122	1781
2	8274.63	0	3251.45	5023.18	100	60	0	0.701223	39	38.8	0	3	1910	1	0.872573	1781
3	38900.3	0	18105.5	20794.8	100	60	0	0.701223	39	38.8	0	3	1910	1	0.871267	1781
4	116914	0	54883.5	62030.9	100	60	0	0.701223	39	38.8	0	3	1910	1	0.869841	1781
5	261299	0	122472	138827	100	60	0	0.701223	39	38.8	0	3	1910	1	0.869471	1781
6	468507	534	220554	247953	100	60	2.4072	0.701223	39	38.8	0	3	1910	1.00107	0.868709	1781
7	686299	759	325339	360961	100	60	3.12857	0.701223	39	38.8	0	3	1910	1.01515	0.885227	1781
8	873203	843	419081	454122	100	60	3.3626	0.701223	39	38.8	0	3	1910	1.02829	0.900356	1781
9	1.01656e+006	803	493690	522866	100	60	3.19443	0.701223	39	38.8	0	3	1910	1.05696	0.937733	1781
10	1.1096e+006	761	544551	565051	100	60	3.0728	0.701223	39	38.8	0	3	1910	1.07127	0.954008	1781
11	1.18445e+006	729	586183	598268	100	60	2.96901	0.701223	39	38.8	0	3	1910	1.08465	0.97668	1781
12	1.24399e+006	706	620011	623981	100	60	2.91936	0.701223	39	38.8	0	3	1910	1.10197	0.995745	1781
13	1.28983e+006	696	647751	642075	100	60	2.91341	0.701223	39	38.8	0	3	1910	1.11667	0.998549	1781
14	1.29997e+006	675	656962	643003	100	60	2.85878	0.701223	39	38.8	0	3	1910	1.12958	1.009	1781
15	1.33713e+006	666	678370	658763	100	60	2.86448	0.701223	39	38.8	0	3	1910	1.15816	1.03196	1781
16	1.37381e+006	663	688171	665692	100	60	2.87307	0.701223	39	38.8	0	3	1910	1.16974	1.05247	1781
17	1.39596e+006	654	691055	666787	100	60	2.87557	0.701223	39	38.8	0	3	1910	1.1893	1.0721	1781
18	1.42981e+006	656	705315	680818	100	60	2.96353	0.701223	39	38.8	0	3	1910	1.17862	1.06359	1781
19	1.45233e+006	659	716945	690668	100	60	3.04549	0.701223	39	38.8	0	3	1910	1.16691	1.0321	1781
20	1.47175e+006	658	727546	699906	100	60	3.10165	0.701223	39	38.8	0	3	1910	1.16569	1.01945	1781
21	1.42586e+006	655	727484	698379	100	60	3.15884	0.701223	39	38.8	0	3	1910	1.16717	1.01656	1781
22	1.4428e+006	659	737564	705234	100	60	0.772714	0.701223	39	38.8	0	3	1910	1.02935	0.894852	1781
23	1.46586e+006	651	743683	722177	100	60	0.777857	0.701223	39	38.8	0	3	1910	1.03185	0.904048	1781
24	1.46404e+006	633	739841	724196	100	60	0.791951	0.701223	39	38.8	0	3	1910	1.03283	0.923288	1781
25	1.46741e+006	627	741732	725680	100	60	0.877376	0.701223	39	38.8	0	3	1910	1.04017	0.968213	1781
26	1.48949e+006	621	752417	737070	100	60	1.00986	0.701223	39	38.8	0	3	1910	1.04972	0.988395	1781
27	1.51491e+006	1431	763496	751411	100	60	2.37725	0.701223	39	38.8	0	3	1910	1.07341	1.01459	1781
28	1.50677e+006	1340	756686	750088	100	60	2.51995	0.701223	39	38.8	0	3	1910	1.09057	1.02418	1781
29	1.53903e+006	1255	771408	767622	100	60	2.60031	0.701223	39	38.8	0	3	1910	1.10507	1.03512	1781
30	1.17332e+006	1203	391148	782174	100	60	2.231	0.701223	39	38.8	0	3	1910	1.38095	1.4764	1781
31	956131	1033	230157	725804	100	60	1.03359	0.701223	39	38.8	0	3	1910	1.10192	0.985322	1781
32	999160	896	314231	684630	100	60	0.576046	0.701223	39	38.8	0	3	1910	1.04383	0.919198	1781
33	981735	743	354855	626653	100	60	0.526821	0.701223	39	38.8	0	3	1910	1.03815	0.917846	1781
34	946256	616	371367	574629	100	60	0.631717	0.701223	39	38.8	0	3	1910	1.05036	0.942541	1781
35	952993	673	398690	554129	100	60	0.938002	0.701223	39	38.8	0	3	1910	1.06932	0.969492	1781
36	918566	781	402711	515855	100	60	1.33558	0.701223	39	38.8	0	3	1910	1.07773	0.987981	1781
37	913358	1022	412210	501148	100	60	2.05086	0.701223	39	38.8	0	3	1910	1.09328	1.00249	1781
