Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	569	0	284.5	284.5	100	90	0	0.793906	52	51	0	500	1810	1	0.781371	1926
2	16493.4	0	8015.45	8477.98	100	90	0	0.793906	52	51	0	500	1810	1	0.767159	1926
3	74430.2	0	39765.9	34664.3	100	90	0	0.793906	52	51	0	500	1810	1	0.771957	1926
4	222683	0	118402	104282	100	90	0	0.793906	52	51	0	500	1810	1	0.770635	1926
5	487481	0	257952	229529	100	90	0	0.793906	52	51	0	500	1810	1.00081	0.767327	1926
6	809229	741	427409	381820	100	90	2.68657	0.793906	52	51	0	500	1810	1.00741	0.77069	1926
7	1.08187e+006	979	575119	506753	100	90	3.35922	0.793906	52	51	0	500	1810	1.01339	0.773234	1926
8	1.29354e+006	1008	692859	600677	100	90	3.42238	0.793906	52	51	0	500	1810	1.02618	0.78373	1926
9	1.44634e+006	957	779641	666702	100	90	3.28174	0.793906	52	51	0	500	1810	1.04292	0.803553	1926
10	1.55129e+006	919	840281	711013	100	90	3.21689	0.793906	52	51	0	500	1810	1.06122	0.819172	1926
11	1.6174e+006	877	878584	738815	100	90	3.15729	0.793906	52	51	0	500	1810	1.07071	0.832377	1926
12	1.66202e+006	846	906288	755727	100	90	3.14916	0.793906	52	51	0	500	1810	1.07869	0.839094	1926
13	1.70115e+006	829	930338	770809	100	90	3.13905	0.793906	52	51	0	500	1810	1.09751	0.858191	1926
14	1.71954e+006	815	942701	776839	100	90	3.14819	0.793906	52	51	0	500	1810	1.11077	0.872796	1926
15	1.74118e+006	808	956906	784276	100	90	3.18022	0.793906	52	51	0	500	1810	1.12621	0.888175	1926
16	1.77845e+006	803	964992	788130	100	90	3.20556	0.793906	52	51	0	500	1810	1.14318	0.900783	1926
17	1.80898e+006	790	969870	789898	100	90	3.19684	0.793906	52	51	0	500	1810	1.15704	0.916335	1926
18	1.83762e+006	784	982727	799791	100	90	3.26092	0.793906	52	51	0	500	1810	1.14797	0.906757	1926
19	1.85843e+006	786	994808	807107	100	90	3.32934	0.793906	52	51	0	500	1810	1.14355	0.897119	1926
20	1.86025e+006	780	996892	807747	100	90	3.3502	0.793906	52	51	0	500	1810	1.14801	0.906031	1926
21	1.80529e+006	774	998232	807058	100	90	3.39552	0.793906	52	51	0	500	1810	1.1434	0.901849	1926
22	1.81363e+006	780	1.00395e+006	809684	100	90	1.30306	0.793906	52	51	0	500	1810	1.04544	0.780404	1926
23	1.84349e+006	768	1.01607e+006	827412	100	90	1.2652	0.793906	52	51	0	500	1810	1.04599	0.78557	1926
24	1.8775e+006	760	1.03286e+006	844636	100	90	1.26325	0.793906	52	51	0	500	1810	1.04995	0.789657	1926
25	1.87616e+006	748	1.03279e+006	843373	100	90	1.34909	0.793906	52	51	0	500	1810	1.05786	0.803295	1926
26	1.8891e+006	738	1.041e+006	848097	100	90	1.48897	0.793906	52	51	0	500	1810	1.06581	0.815366	1926
27	1.90394e+006	1356	1.04838e+006	855558	100	90	2.6488	0.793906	52	51	0	500	1810	1.07912	0.838591	1926
28	1.93763e+006	1230	1.06632e+006	871304	100	90	2.76084	0.793906	52	51	0	500	1810	1.09512	0.848357	1926
29	1.96541e+006	1156	1.0817e+006	883708	100	90	2.81688	0.793906	52	51	0	500	1810	1.11252	0.875468	1926
30	1.44726e+006	1098	550401	896857	100	90	2.29386	0.793906	52	51	0	500	1810	1.45836	1.44645	1926
31	1.50196e+006	972	666892	832660	100	90	1.31709	0.793906	52	51	0	500	1810	1.15911	0.887738	1926
32	1.49203e+006	861	708573	779592	100	90	1.07786	0.793906	52	51	0	500	1810	1.10425	0.823133	1926
33	1.46335e+006	745	720276	739299	100	90	0.891023	0.793906	52	51	0	500	1810	1.0796	0.790787	1926
34	1.46362e+006	659	733139	726835	100	90	0.941743	0.793906	52	51	0	500	1810	1.08585	0.794567	1926
35	1.37256e+006	722	697001	672519	100	90	1.2013	0.793906	52	51	0	500	1810	1.09456	0.802242	1926
36	1.29039e+006	761	666709	623677	100	90	1.45023	0.793906	52	51	0	500	1810	1.10652	0.84903	1926
37	1.25448e+006	895	655561	598916	100	90	1.9356	0.793906	52	51	0	500	1810	1.11996	0.856233	1926
38	1.17945e+006	991	622459	556992	100	90	2.46194	0.793906	52	51	0	500	1810	1.12982	0.856354	1926
39	1.14281e+006	806	608206	534607	100	90	2.57725	0.793906	52	51	0	500	1810	1.15009	0.853425	1926
40	1.11658e+006	684	598756	517819	100	90	2.62869	0.793906	52	51	0	500	1810	1.17622	0.884927	1926
41	1.08428e+006	605	584715	499562	100	90	2.66315	0.793906	52	51	0	500	1810	1.18327	0.895985	1926
42	1.0021e+006	501	543319	458778	100	90	2.66348	0.793906	52	51	0	500	1810	1.22958	0.940133	1926
43	931136	450	507781	423355	100	90	2.77288	0.793906	52	51	0	500	1810	1.25458	0.9525	1926
44	919220	416	503278	415941	100	90	2.8992	0.793906	52	51	0	500	1810	1.29801	0.988981	1926
45	856758	378	470364	386394	100	90	2.87475	0.793906	52	51	0	500	1810	1.3375	1.02424	1926
