Time	Inds	seedlings	seeds	repromass	cover	shootmass	PFT
1	0	17	13	0	0	17	LECAcl3plb
1	0	11	19	0	0	11	LECIcl3plb
1	0	17	13	0	0	17	LSCAcl1plb
1	0	12	18	0	0	12	LSCAplb
1	0	10	20	0	0	10	LSCIcl1plb
1	0	17	13	0	0	17	LSCIcl3plb
1	0	16	13	0	0	16	LSCTcl2plb
1	0	13	17	0	0	13	LSSIcl3plb
1	0	21	9	0	0	21	LSSTcl3plb
1	0	14	16	0	0	4.2	MECIcl3plb
1	0	12	17	0	0	3.6	MECTcl3peb
1	0	15	15	0	0	4.5	MEIIcl4plb
1	0	16	14	0	0	4.8	MEITplb
1	0	13	17	0	0	3.9	MESTcl1plb
1	0	11	19	0	0	3.3	MSCAcl1plb
1	0	11	19	0	0	3.3	MSCAcl3plb
1	0	15	15	0	0	4.5	MSCIplb
1	0	19	11	0	0	5.7	MSCTcl1plb
1	0	12	18	0	0	3.6	MSCTcl2plb
1	0	15	15	0	0	4.5	MSIAcl1plb
1	0	12	18	0	0	3.6	MSIAcl4plb
1	0	15	14	0	0	4.5	MSIIcl3plb
1	0	10	20	0	0	3	MSITcl1plb
1	0	14	16	0	0	4.2	MSITcl3plb
1	0	12	18	0	0	3.6	MSITcl4plb
1	0	16	14	0	0	4.8	MSSIcl1plb
1	0	20	10	0	0	6	MSSTcl3plb
1	0	20	9	0	0	2	SECTpeb
1	0	12	18	0	0	1.2	SEIAcl4peb
1	0	16	14	0	0	1.6	SEITcl4peb
1	0	18	10	0	0	1.8	SESIcl4plb
1	0	12	18	0	0	1.2	SRIAcl1peb
1	0	10	19	0	0	1	SRIAcl2plb
1	0	17	12	0	0	1.7	SRIAcl4peb
1	0	15	15	0	0	1.5	SSCTplb
1	0	12	18	0	0	1.2	SSIAcl4plb
1	0	12	18	0	0	1.2	SSIIcl2plb
1	0	12	18	0	0	1.2	SSITcl3plb
1	0	13	17	0	0	1.3	SSITcl4plb
2	0	26	4	0	0.000568011	116.843	LECAcl3plb
2	0	19	11	0	0.000367537	77.7803	LECIcl3plb
2	0	23	7	0	0.000568011	113.843	LSCAcl1plb
2	0	20	10	0	0.000400949	87.4991	LSCAplb
2	0	16	13	0	0.000334124	64.0928	LSCIcl1plb
2	0	19	10	0	0.000568011	104.498	LSCIcl3plb
2	0	25	4	0	0.000534599	110.498	LSCTcl2plb
2	0	18	12	0	0.000434361	82.9995	LSSIcl3plb
2	0	25	5	0	0.000701661	129.999	LSSTcl3plb
2	0	22	8	0	0.000467774	81.4121	MECIcl3plb
2	0	19	10	0	0.000400949	69.8246	MECTcl3peb
2	0	20	10	0	0.000501186	86.156	MEIIcl4plb
2	0	19	11	0	0.000534599	95.6996	MEITplb
2	0	19	11	0	0.000434361	70.6999	MESTcl1plb
2	0	21	9	0	0.000367537	65.081	MSCAcl1plb
2	0	23	7	0	0.000367537	65.681	MSCAcl3plb
2	0	22	8	0	0.000501186	90.9745	MSCIplb
2	0	25	5	0	0.000634836	109.03	MSCTcl1plb
2	0	23	7	0	0.000400949	71.0245	MSCTcl2plb
2	0	21	8	0	0.000501186	81.1123	MSIAcl1plb
2	0	25	5	0	0.000400949	71.6248	MSIAcl4plb
2	0	23	5	0	0.000501186	87.0559	MSIIcl3plb
2	0	18	12	0	0.000334124	58.8372	MSITcl1plb
2	0	21	9	0	0.000467774	81.1121	MSITcl3plb
2	0	23	7	0	0.000400949	71.0246	MSITcl4plb
2	0	25	5	0	0.000534599	87.4998	MSSIcl1plb
2	0	28	2	0	0.000668248	108.4	MSSTcl3plb
2	0	27	2	0	0.000668248	115.2	SECTpeb
2	0	21	9	0	0.000400949	66.225	SEIAcl4peb
2	0	23	7	0	0.000534599	87.7999	SEITcl4peb
2	0	24	4	0	0.000601423	92.4	SESIcl4plb
2	0	20	10	0	0.000400949	66.1249	SRIAcl1peb
2	0	17	11	0	0.000334124	55.1375	SRIAcl2plb
2	0	20	9	0	0.000568011	92.8437	SRIAcl4peb
2	0	22	8	0	0.000501186	86.5748	SSCTplb
2	0	23	7	0	0.000400949	66.425	SSIAcl4plb
2	0	23	7	0	0.000400949	66.4249	SSIIcl2plb
2	0	22	8	0	0.000400949	66.3249	SSITcl3plb
2	0	24	6	0	0.000434361	71.8686	SSITcl4plb
3	0	28	2	0	0.00142003	636.32	LECAcl3plb
3	0	25	4	0	0.000985666	422.693	LECIcl3plb
3	0	23	6	0	0.0013365	622.874	LSCAcl1plb
3	0	25	5	0	0.0010692	491.387	LSCAplb
3	0	19	9	0	0.00110261	392.155	LSCIcl1plb
3	0	21	8	0	0.00168733	663.922	LSCIcl3plb
3	0	26	2	0	0.0018878	701.312	LSCTcl2plb
3	0	23	7	0	0.00143673	304.627	LSSIcl3plb
3	0	28	2	0	0.00222193	467.962	LSSTcl3plb
3	0	25	5	0	0.00120285	518.755	MECIcl3plb
3	0	23	6	0	0.00101908	438.529	MECTcl3peb
3	0	26	4	0	0.00116943	414.585	MEIIcl4plb
3	0	22	7	0	0.00163721	565.499	MEITplb
3	0	22	8	0	0.00105249	227.538	MESTcl1plb
3	0	26	3	0	0.0010692	416.634	MSCAcl1plb
3	0	27	2	0	0.00113602	407.503	MSCAcl3plb
3	0	28	2	0	0.00168733	652.149	MSCIplb
3	0	28	2	0	0.00210498	786.229	MSCTcl1plb
3	0	24	5	0	0.00157038	535.206	MSCTcl2plb
3	0	23	6	0	0.00116943	395.346	MSIAcl1plb
3	0	27	3	0	0.00121955	381.631	MSIAcl4plb
3	0	22	4	0	0.00125297	395.009	MSIIcl3plb
3	0	22	7	0	0.00125297	393.134	MSITcl1plb
3	0	29	1	0	0.0016205	536.659	MSITcl3plb
3	0	24	5	0	0.00157038	473.641	MSITcl4plb
3	0	26	4	0	0.0013532	292.745	MSSIcl1plb
3	0	28	2	0	0.00225534	442.677	MSSTcl3plb
3	0	27	1	0	0.00220522	869.768	SECTpeb
3	0	26	4	0	0.000701661	234.707	SEIAcl4peb
3	0	25	5	0	0.00130308	445.107	SEITcl4peb
3	0	25	3	0	0.00138661	302.389	SESIcl4plb
3	0	25	5	0	0.00105249	349.197	SRIAcl1peb
3	0	23	5	0	0.000902135	288.072	SRIAcl2plb
3	0	26	3	0	0.00120285	448.305	SRIAcl4peb
3	0	25	5	0	0.00173745	651.697	SSCTplb
3	0	27	3	0	0.00116943	357.519	SSIAcl4plb
3	0	25	5	0	0.00115273	365.186	SSIIcl2plb
3	0	28	1	0	0.00153697	455.964	SSITcl3plb
3	0	27	3	0	0.0016205	513.765	SSITcl4plb
4	0	28	2	0	0.00275652	1758.53	LECAcl3plb
4	0	24	4	0	0.00260617	1307.98	LECIcl3plb
4	0	22	6	0	0.0031519	1821.52	LSCAcl1plb
4	0	25	5	0	0.00257276	1502.39	LSCAplb
4	0	19	9	0	0.00280107	1298.84	LSCIcl1plb
4	0	21	8	0	0.00427679	2070.33	LSCIcl3plb
4	0	25	2	0	0.00590843	2112.52	LSCTcl2plb
4	0	23	7	0	0.0026897	714.697	LSSIcl3plb
4	0	28	2	0	0.00515665	1274.04	LSSTcl3plb
4	0	25	5	0	0.00290688	1620.93	MECIcl3plb
4	0	21	6	0	0.00321316	1327.57	MECTcl3peb
4	0	26	4	0	0.002957	1274.88	MEIIcl4plb
4	0	21	7	0	0.00370878	1654.53	MEITplb
4	0	22	8	0	0.00205486	549.91	MESTcl1plb
4	0	26	3	0	0.00243911	1314.99	MSCAcl1plb
4	0	27	2	0	0.00263958	1393.95	MSCAcl3plb
4	0	28	2	0	0.00444385	2180.11	MSCIplb
4	0	28	2	0	0.00668248	2342.35	MSCTcl1plb
4	0	23	5	0	0.00474456	1664.67	MSCTcl2plb
4	0	23	6	0	0.00228875	1083.36	MSIAcl1plb
4	0	27	3	0	0.00245581	1094.31	MSIAcl4plb
4	0	20	4	0	0.00312406	1203.72	MSIIcl3plb
4	0	22	7	0	0.00370878	1329.73	MSITcl1plb
4	0	29	1	0	0.00507312	1895.41	MSITcl3plb
4	0	23	5	0	0.00436032	1517.26	MSITcl4plb
4	0	26	4	0	0.00262287	687.497	MSSIcl1plb
4	0	27	2	0	0.00516222	1231.13	MSSTcl3plb
4	0	27	1	0	0.0056467	2825.09	SECTpeb
4	0	25	4	0	0.00123626	547.655	SEIAcl4peb
4	0	25	5	0	0.00360854	1490.85	SEITcl4peb
4	0	25	3	0	0.00218851	633.017	SESIcl4plb
4	0	24	5	0	0.00255605	1086.75	SRIAcl1peb
4	0	23	5	0	0.00223863	915.562	SRIAcl2plb
4	0	26	3	0	0.00311849	1349.9	SRIAcl4peb
4	0	24	5	0	0.00565783	1910.51	SSCTplb
4	0	26	3	0	0.00228875	964.498	SSIAcl4plb
4	0	25	5	0	0.00304053	1244.8	SSIIcl2plb
4	0	28	1	0	0.00447726	1624.99	SSITcl3plb
4	0	27	3	0	0.00485594	1771.88	SSITcl4plb
5	0	27	2	0	0.00467217	3506.07	LECAcl3plb
5	0	24	4	0	0.00495617	3081.94	LECIcl3plb
5	0	21	6	0	0.0056467	3764.21	LSCAcl1plb
5	0	25	5	0	0.00498123	3431.51	LSCAplb
5	0	19	9	0	0.00568011	3011.68	LSCIcl1plb
5	0	21	8	0	0.0086204	4666.14	LSCIcl3plb
5	0	25	2	0	0.0121287	4889.45	LSCTcl2plb
5	0	22	7	0	0.00439373	1354.45	LSSIcl3plb
5	0	28	2	0	0.00927473	2719.9	LSSTcl3plb
5	0	24	5	0	0.00616459	3798.4	MECIcl3plb
5	0	21	6	0	0.00629267	3055.1	MECTcl3peb
5	0	26	4	0	0.00521234	2855.67	MEIIcl4plb
5	0	21	7	0	0.00710014	3758.47	MEITplb
5	0	22	8	0	0.00346375	1112.92	MESTcl1plb
5	0	26	3	0	0.00452738	2977	MSCAcl1plb
5	0	27	2	0	0.00508425	3299.34	MSCAcl3plb
5	0	26	2	0	0.00886821	4998.47	MSCIplb
5	0	27	2	0	0.0133288	5310.65	MSCTcl1plb
5	0	22	5	0	0.00985666	3863.52	MSCTcl2plb
5	0	22	6	0	0.00378396	2100.99	MSIAcl1plb
5	0	25	3	0	0.00390368	2035.98	MSIAcl4plb
5	0	20	4	0	0.005914	2863.86	MSIIcl3plb
5	0	22	7	0	0.00799949	3158.44	MSITcl1plb
5	0	28	1	0	0.0116943	4395.82	MSITcl3plb
5	0	23	5	0	0.00928865	3535.31	MSITcl4plb
5	0	26	4	0	0.00444942	1381.03	MSSIcl1plb
5	0	26	2	0	0.00863154	2470.78	MSSTcl3plb
5	0	27	1	0	0.0113936	6202.19	SECTpeb
5	0	24	4	0	0.00220522	1179.99	SEIAcl4peb
5	0	25	5	0	0.00752893	3536.64	SEITcl4peb
5	0	25	3	0	0.00335795	1177.87	SESIcl4plb
5	0	23	5	0	0.00471672	2355.03	SRIAcl1peb
5	0	23	5	0	0.0040262	2092.44	SRIAcl2plb
5	0	25	3	0	0.00547964	2916.36	SRIAcl4peb
5	0	22	5	0	0.0108368	4426.47	SSCTplb
5	0	25	3	0	0.00382015	2068.88	SSIAcl4plb
5	0	25	5	0	0.00634279	3021.47	SSIIcl2plb
5	0	27	1	0	0.0102298	3913.21	SSITcl3plb
5	0	26	3	0	0.0109927	3999.5	SSITcl4plb
6	17	8	2	0	0.00654883	5883.91	LECAcl3plb
6	11	13	4	0	0.00825008	5881.98	LECIcl3plb
6	16	5	6	0	0.00845334	6772.9	LSCAcl1plb
6	12	13	5	0	0.00760689	6382.75	LSCAplb
6	8	8	9	0	0.00909653	5039.58	LSCIcl1plb
6	16	4	8	0	0.0134736	8551.79	LSCIcl3plb
6	16	11	2	0	0.0194237	9051.69	LSCTcl2plb
6	13	8	7	0	0.00649036	2402.63	LSSIcl3plb
6	21	7	2	0	0.0138634	4931.11	LSSTcl3plb
6	14	9	5	0	0.0104414	7050.7	MECIcl3plb
6	11	9	6	0	0.00993741	5381.93	MECTcl3peb
6	15	10	4	0	0.00820553	5246.64	MEIIcl4plb
6	16	5	7	0	0.0112572	6874.9	MEITplb
6	13	9	8	0	0.00515386	1946.83	MESTcl1plb
6	11	13	3	0	0.00689688	5331.09	MSCAcl1plb
6	10	17	2	0	0.008264	6197.51	MSCAcl3plb
6	15	10	2	0	0.0144826	9057.39	MSCIplb
6	19	8	2	0	0.0210999	9578	MSCTcl1plb
6	12	12	5	0	0.0161382	7049.14	MSCTcl2plb
6	12	8	6	0	0.00545736	3409.2	MSIAcl1plb
6	10	14	3	0	0.00553922	3458.48	MSIAcl4plb
6	13	6	4	0	0.00954203	5147.13	MSIIcl3plb
6	10	12	7	0	0.0135794	5766.65	MSITcl1plb
6	14	14	1	0	0.0188418	7901.79	MSITcl3plb
6	11	11	5	0	0.0151202	6409.03	MSITcl4plb
6	16	10	4	0	0.00643746	2373.49	MSSIcl1plb
6	19	7	2	0	0.0124628	4315.94	MSSTcl3plb
6	19	7	1	0	0.0178673	9489.82	SECTpeb
6	11	13	4	0	0.00329112	2153.47	SEIAcl4peb
6	16	10	5	0	0.0120674	6208.99	SEITcl4peb
6	17	7	3	0	0.00442993	1832.68	SESIcl4plb
6	11	10	5	0	0.00724325	4004.96	SRIAcl1peb
6	10	11	5	0	0.00655997	3831.18	SRIAcl2plb
6	17	7	3	0	0.00803012	5186.22	SRIAcl4peb
6	15	7	5	0	0.0172046	7224.25	SSCTplb
6	11	11	3	0	0.00574693	3628.54	SSIAcl4plb
6	12	13	5	0	0.0104135	5645.5	SSIIcl2plb
6	12	15	1	0	0.0175527	6992.57	SSITcl3plb
6	13	13	3	0	0.0173254	6864.03	SSITcl4plb
7	23	2	2	0	0.00808023	8896.25	LECAcl3plb
7	16	5	4	0	0.0118486	8773.34	LECIcl3plb
7	19	1	6	0	0.0117445	10267.2	LSCAcl1plb
7	17	4	5	0	0.010433	9589.24	LSCAplb
7	13	6	9	0	0.0125129	8052.13	LSCIcl1plb
7	17	2	8	0	0.0188613	13088.5	LSCIcl3plb
7	23	4	2	0	0.0265712	14254.1	LSCTcl2plb
7	17	4	7	0	0.00829741	3845.98	LSSIcl3plb
7	24	4	2	0	0.0184041	7485.41	LSSTcl3plb
7	21	2	5	0	0.0146179	11201.9	MECIcl3plb
7	18	2	6	0	0.0133427	8324.26	MECTcl3peb
7	20	5	4	0	0.0107404	8233.61	MEIIcl4plb
7	17	4	7	0	0.0156537	10257.6	MEITplb
7	19	2	8	0	0.0067688	3000.32	MESTcl1plb
7	19	4	3	0	0.00944736	8185.48	MSCAcl1plb
7	22	4	2	0	0.0115384	9816.74	MSCAcl3plb
7	21	3	2	0	0.0198926	13035.4	MSCIplb
7	24	4	2	0	0.0287414	13699.7	MSCTcl1plb
7	19	6	5	0	0.0217682	10224.1	MSCTcl2plb
7	17	2	6	0	0.00703164	5114.41	MSIAcl1plb
7	22	2	3	0	0.00721151	5284.48	MSIAcl4plb
7	18	1	4	0	0.0127524	7668.59	MSIIcl3plb
7	17	6	7	0	0.0183557	8593.14	MSITcl1plb
7	20	8	1	0	0.0251328	11470.4	MSITcl3plb
7	20	2	5	0	0.0202396	9497.81	MSITcl4plb
7	23	1	4	0	0.00818882	3634.14	MSSIcl1plb
7	25	0	2	0	0.0165113	6495.68	MSSTcl3plb
7	25	1	1	0	0.021913	11606.7	SECTpeb
7	18	5	4	0	0.00437146	3383.53	SEIAcl4peb
7	23	1	5	0	0.0157456	8757.46	SEITcl4peb
7	22	1	3	0	0.00556595	2691.21	SESIcl4plb
7	16	5	5	0	0.00946406	6090.65	SRIAcl1peb
7	14	4	5	0	0.00891944	5496.28	SRIAcl2plb
7	20	4	3	0	0.0111597	7587.32	SRIAcl4peb
7	20	1	5	0	0.0224197	8555.04	SSCTplb
7	18	3	3	0	0.0079438	5460.73	SSIAcl4plb
7	23	2	5	0	0.0149214	8365.53	SSIIcl2plb
7	21	6	1	0	0.0240597	9733.39	SSITcl3plb
7	24	2	3	0	0.0227037	9194.03	SSITcl4plb
8	23	0	2	0	0.00945293	11486.5	LECAcl3plb
8	20	0	4	0	0.0150439	12416.9	LECIcl3plb
8	17	0	6	0	0.0141167	13276.5	LSCAcl1plb
8	19	0	5	0	0.0133187	13038.2	LSCAplb
8	15	2	9	0	0.0158152	10748.8	LSCIcl1plb
8	19	0	8	0	0.0234527	17993.9	LSCIcl3plb
8	23	2	2	0	0.0327091	18584	LSCTcl2plb
8	21	0	7	0	0.0103718	5621.48	LSSIcl3plb
8	26	1	2	0	0.0230857	10428.7	LSSTcl3plb
8	23	0	5	0	0.0185495	15181	MECIcl3plb
8	20	0	6	0	0.016327	11068.6	MECTcl3peb
8	22	1	4	0	0.0134802	11108.6	MEIIcl4plb
8	21	0	7	0	0.0190222	13234.6	MEITplb
8	20	0	8	0	0.0082189	4166.51	MESTcl1plb
8	22	0	3	0	0.0117389	10870.3	MSCAcl1plb
8	24	0	2	0	0.0143144	13541.1	MSCAcl3plb
8	24	0	2	0	0.0242374	16401.9	MSCIplb
8	25	4	2	0	0.0344727	15847.1	MSCTcl1plb
8	21	4	5	0	0.0259431	12562.1	MSCTcl2plb
